"site";"year";"sample";"N1y_t1";"MAY_t";"JUN_t";"JUL_t";"AUG_t";"SEP_t";"OCT_t";"NOV_t";"DEC_t";"JAN_t1";"FEB_t1";"MAR_t1";"APR_t1";"MAY_t1";"JUN_t1";"JUL_t1"
"Goreliy";"2006";"mg4-1";0;;;;;;;;;;;;;;;
"Goreliy";"2006";"mg4-2";0;;;;;;;;;;;;;;;
"Goreliy";"2006";"mg4-3";0;;;;;;;;;;;;;;;
"Goreliy";"2007";"1mg1";150;;;;;;;;;;;;;;;
"Goreliy";"2007";"1mg2";750;;;;;;;;;;;;;;;
"Goreliy";"2007";"1mg3";0;;;;;;;;;;;;;;;
"Goreliy";"2007";"1mg4";0;;;;;;;;;;;;;;;
"Goreliy";"2007";"2mg1";840;;;;;;;;;;;;;;;
"Goreliy";"2007";"2mg2";900;;;;;;;;;;;;;;;
"Goreliy";"2007";"2mg3";90;;;;;;;;;;;;;;;
"Goreliy";"2007";"2mg4";30;;;;;;;;;;;;;;;
"Goreliy";"2007";"3mg1";480;;;;;;;;;;;;;;;
"Goreliy";"2007";"3mg2";480;;;;;;;;;;;;;;;
"Goreliy";"2007";"3mg3";90;;;;;;;;;;;;;;;
"Goreliy";"2007";"3mg4";30;;;;;;;;;;;;;;;
"Goreliy";"2008";"Mg1-1";420;;;;;;;;;;;;;;;
"Goreliy";"2008";"Mg1-2";390;;;;;;;;;;;;;;;
"Goreliy";"2008";"Mg1-3";90;;;;;;;;;;;;;;;
"Goreliy";"2008";"Mg2-1";750;;;;;;;;;;;;;;;
"Goreliy";"2008";"Mg2-2";540;;;;;;;;;;;;;;;
"Goreliy";"2008";"Mg2-3";540;;;;;;;;;;;;;;;
"Goreliy";"2008";"Mg3-1";360;;;;;;;;;;;;;;;
"Goreliy";"2008";"Mg3-2";0;;;;;;;;;;;;;;;
"Goreliy";"2008";"Mg3-3";120;;;;;;;;;;;;;;;
"Goreliy";"2008";"Mg4-1";120;;;;;;;;;;;;;;;
"Goreliy";"2008";"Mg4-2";120;;;;;;;;;;;;;;;
"Goreliy";"2008";"Mg4-3";30;;;;;;;;;;;;;;;
"Goreliy";"2009";"mg1";540;;;;;;;;;;;;;;;
"Goreliy";"2009";"mg2";200;;;;;;;;;;;;;;;
"Goreliy";"2009";"mg3";70;;;;;;;;;;;;;;;
"Goreliy";"2009";"mg4";30;;;;;;;;;;;;;;;
"Goreliy";"2010";"mg1";20;;;;;;;;;;;;;;;
"Goreliy";"2010";"mg2";20;;;;;;;;;;;;;;;
"Goreliy";"2010";"mg3";40;;;;;;;;;;;;;;;
"Goreliy";"2010";"mg4";90;;;;;;;;;;;;;;;
"Goreliy";"2011";"Mg1-1";0;;;;;;;;;;;;;;;
"Goreliy";"2011";"Mg1-2";120;;;;;;;;;;;;;;;
"Goreliy";"2011";"Mg1-3";120;;;;;;;;;;;;;;;
"Goreliy";"2011";"Mg2-1";210;;;;;;;;;;;;;;;
"Goreliy";"2011";"Mg2-2";90;;;;;;;;;;;;;;;
"Goreliy";"2011";"Mg2-3";120;;;;;;;;;;;;;;;
"Goreliy";"2011";"Mg3-1";330;;;;;;;;;;;;;;;
"Goreliy";"2011";"Mg3-2";210;;;;;;;;;;;;;;;
"Goreliy";"2011";"Mg3-3";480;;;;;;;;;;;;;;;
"Goreliy";"2011";"Mg4-1";60;;;;;;;;;;;;;;;
"Goreliy";"2011";"Mg4-2";270;;;;;;;;;;;;;;;
"Goreliy";"2011";"Mg4-3";270;;;;;;;;;;;;;;;
"Goreliy";"2012";"mg1";250;;;;;;;;;;;;;;;
"Goreliy";"2012";"mg2";200;;;;;;;;;;;;;;;
"Goreliy";"2012";"mg3";50;;;;;;;;;;;;;;;
"Goreliy";"2012";"mg4";20;;;;;;;;;;;;;;;
"Lomnishniy";"2007";"1";60;;;;;;;;;;;;;;;
"Lomnishniy";"2007";"10";0;;;;;;;;;;;;;;;
"Lomnishniy";"2007";"2";180;;;;;;;;;;;;;;;
"Lomnishniy";"2007";"3";0;;;;;;;;;;;;;;;
"Lomnishniy";"2007";"4";150;;;;;;;;;;;;;;;
"Lomnishniy";"2007";"5";30;;;;;;;;;;;;;;;
"Lomnishniy";"2007";"6";30;;;;;;;;;;;;;;;
"Lomnishniy";"2007";"7";60;;;;;;;;;;;;;;;
"Lomnishniy";"2007";"8";120;;;;;;;;;;;;;;;
"Lomnishniy";"2007";"9";0;;;;;;;;;;;;;;;
"Lomnishniy";"2008";"1";210;;;;;;;;;;;;;;;
"Lomnishniy";"2008";"2";840;;;;;;;;;;;;;;;
"Lomnishniy";"2008";"3";690;;;;;;;;;;;;;;;
"Lomnishniy";"2008";"4";1230;;;;;;;;;;;;;;;
"Lomnishniy";"2008";"5";90;;;;;;;;;;;;;;;
"Lomnishniy";"2009";"1";30;;;;;;;;;;;;;;;
"Lomnishniy";"2009";"10";30;;;;;;;;;;;;;;;
"Lomnishniy";"2009";"2";0;;;;;;;;;;;;;;;
"Lomnishniy";"2009";"3";0;;;;;;;;;;;;;;;
"Lomnishniy";"2009";"4";0;;;;;;;;;;;;;;;
"Lomnishniy";"2009";"5";30;;;;;;;;;;;;;;;
"Lomnishniy";"2009";"6";0;;;;;;;;;;;;;;;
"Lomnishniy";"2009";"7";0;;;;;;;;;;;;;;;
"Lomnishniy";"2009";"8";0;;;;;;;;;;;;;;;
"Lomnishniy";"2009";"9";90;;;;;;;;;;;;;;;
"Lomnishniy";"2010";"1";0;;;;;;;;;;;;;;;
"Lomnishniy";"2010";"10";0;;;;;;;;;;;;;;;
"Lomnishniy";"2010";"2";0;;;;;;;;;;;;;;;
"Lomnishniy";"2010";"3";30;;;;;;;;;;;;;;;
"Lomnishniy";"2010";"4";0;;;;;;;;;;;;;;;
"Lomnishniy";"2010";"5";0;;;;;;;;;;;;;;;
"Lomnishniy";"2010";"6";30;;;;;;;;;;;;;;;
"Lomnishniy";"2010";"7";0;;;;;;;;;;;;;;;
"Lomnishniy";"2010";"8";0;;;;;;;;;;;;;;;
"Lomnishniy";"2010";"9";0;;;;;;;;;;;;;;;
"Lomnishniy";"2011";"1";30;;;;;;;;;;;;;;;
"Lomnishniy";"2011";"10";0;;;;;;;;;;;;;;;
"Lomnishniy";"2011";"2";0;;;;;;;;;;;;;;;
"Lomnishniy";"2011";"3";0;;;;;;;;;;;;;;;
"Lomnishniy";"2011";"4";30;;;;;;;;;;;;;;;
"Lomnishniy";"2011";"5";0;;;;;;;;;;;;;;;
"Lomnishniy";"2011";"6";270;;;;;;;;;;;;;;;
"Lomnishniy";"2011";"7";0;;;;;;;;;;;;;;;
"Lomnishniy";"2011";"8";0;;;;;;;;;;;;;;;
"Lomnishniy";"2011";"9";0;;;;;;;;;;;;;;;
"Lomnishniy";"2012";"1";240;;;;;;;;;;;;;;;
"Lomnishniy";"2012";"10";270;;;;;;;;;;;;;;;
"Lomnishniy";"2012";"2";150;;;;;;;;;;;;;;;
