area;year;N2.mean.sqmeter;N2.sem;region
razrez2;1992;251,25;79,2921812034;Luvenga
razrez2;1993;376,5;46,4490382882;Luvenga
razrez2;1994;745,2631578947;85,1252946513;Luvenga
razrez2;1995;879,4736842105;92,2781835425;Luvenga
razrez2;1996;760,5;81,5006457837;Luvenga
razrez2;1997;748,5;85,3669324615;Luvenga
razrez2;1998;2152,5;312,1629761586;Luvenga
razrez2;1999;3558;933,8462062043;Luvenga
razrez2;2000;2480;282,0131709184;Luvenga
razrez2;2002;2120;410,2992256213;Luvenga
razrez2;2004;2487,5;409,4362809789;Luvenga
YuG;2001;1256,6666666667;174,8173650159;North_arckipelago
YuG;2002;1196,25;212,5007352928;North_arckipelago
YuG;2003;1758;333,2798052259;North_arckipelago
YuG;2004;1913,0769230769;575,9622768712;North_arckipelago
YuG;2005;860;177,9807373205;North_arckipelago
YuG;2006;842,5;203,920383305;North_arckipelago
YuG;2007;1412;387,8342797787;North_arckipelago
YuG;2008;1434;333,4306524601;North_arckipelago
YuG;2009;1122;198,4540249025;North_arckipelago
YuG;2010;682;106,5082156456;North_arckipelago
YuG;2011;364;151,5029466946;North_arckipelago
YuG;2012;142;39,1115620465;North_arckipelago
ZRS;1994;450;100;North_arckipelago
ZRS;1995;490;10;North_arckipelago
ZRS;1996;260;130;North_arckipelago
ZRS;1997;220;90;North_arckipelago
ZRS;1998;755;185;North_arckipelago
ZRS;1999;8530;800;North_arckipelago
ZRS;2000;2910;440;North_arckipelago
ZRS;2001;2515;295;North_arckipelago
ZRS;2002;2690;570;North_arckipelago
ZRS;2003;1930;300;North_arckipelago
ZRS;2004;2355;55;North_arckipelago
ZRS;2005;1825;115;North_arckipelago
ZRS;2006;795;165;North_arckipelago
ZRS;2007;1055;185;North_arckipelago
ZRS;2008;1840;460;North_arckipelago
ZRS;2009;1745;65;North_arckipelago
ZRS;2010;1680;460;North_arckipelago
ZRS;2011;1455;535;North_arckipelago
ZRS;2012;910;340;North_arckipelago
Suhaya;1979;690,5;NA;Chupa
Suhaya;1980;576,5;NA;Chupa
Suhaya;1981;556;NA;Chupa
Suhaya;1982;158;NA;Chupa
Suhaya;1983;594,5;NA;Chupa
Suhaya;1984;1068;NA;Chupa
Suhaya;1987;21,5;NA;Chupa
Suhaya;1989;104;NA;Chupa
Suhaya;1990;55,5;NA;Chupa
Suhaya;1991;39;NA;Chupa
Suhaya;1992;88;NA;Chupa
Suhaya;1993;104;NA;Chupa
Suhaya;1995;375;NA;Chupa
Suhaya;1996;398,5;NA;Chupa
Suhaya;1997;416;NA;Chupa
Suhaya;1998;441;NA;Chupa
Suhaya;1999;769;NA;Chupa
Suhaya;2000;443;NA;Chupa
Suhaya;2001;117;NA;Chupa
Suhaya;2006;1113,5;NA;Chupa
Suhaya;2008;456,5;NA;Chupa
Suhaya;2009;657;NA;Chupa
Suhaya;2012;180;NA;Chupa
Klyushuha;1982;310;NA;Chupa
Klyushuha;1983;480;NA;Chupa
Klyushuha;1984;511;NA;Chupa
Klyushuha;1987;156;NA;Chupa
Klyushuha;1989;130,3333333333;NA;Chupa
Klyushuha;1990;473;NA;Chupa
Klyushuha;1991;537,6666666667;NA;Chupa
Klyushuha;1992;678;NA;Chupa
Klyushuha;1995;507;NA;Chupa
Klyushuha;1996;952,6666666667;NA;Chupa
Klyushuha;1997;924,6666666667;NA;Chupa
Klyushuha;1998;1075,3333333333;NA;Chupa
Klyushuha;1999;1606,6666666667;NA;Chupa
Klyushuha;2000;715,3333333333;NA;Chupa
Klyushuha;2003;738;NA;Chupa
Klyushuha;2006;647,3333333333;NA;Chupa
Klyushuha;2008;1063;NA;Chupa
Klyushuha;2009;898,3333333333;NA;Chupa
Klyushuha;2010;734,6666666667;NA;Chupa
Klyushuha;2011;715,3333333333;NA;Chupa
Klyushuha;2012;392,6666666667;NA;Chupa
Medvezhya;1987;5,5833333333;1,694278846;Chupa
Medvezhya;1988;3,0833333333;1,0833333333;Chupa
Medvezhya;1989;4,4166666667;1,2936812247;Chupa
Medvezhya;1990;2,6666666667;0,6890192122;Chupa
Medvezhya;1991;7,1666666667;2,3863035105;Chupa
Medvezhya;1992;4,0833333333;0,8389959126;Chupa
Medvezhya;1993;10,9166666667;3,4519610881;Chupa
Medvezhya;1994;10,6041666667;2,4495628733;Chupa
Medvezhya;1995;22,5875;6,5085582499;Chupa
Medvezhya;1996;12,3583333333;0,8707109889;Chupa
Medvezhya;1997;42,3833333333;7,2779902043;Chupa
Medvezhya;1998;165,0208333333;39,9867797558;Chupa
Medvezhya;1999;50,353125;22,8407772091;Chupa
Medvezhya;2000;14,4645833333;4,5632633612;Chupa
Medvezhya;2001;45,5291666667;9,4134734965;Chupa
Medvezhya;2002;60,4333333333;12,3964160164;Chupa
Medvezhya;2003;49,2104166667;9,6843230169;Chupa
Medvezhya;2004;40,7833333333;14,6683301183;Chupa
Medvezhya;2005;32,8291666667;5,5587477414;Chupa
Medvezhya;2006;16,375;2,581257108;Chupa
Medvezhya;2007;24,2958333333;4,4387955144;Chupa
Medvezhya;2008;17,91875;7,1211121271;Chupa
Medvezhya;2009;90,8458333333;19,4016963765;Chupa
Medvezhya;2010;25,2479166667;6,2462568021;Chupa
Medvezhya;2011;33,675;7,0672727906;Chupa
Medvezhya;2012;24,0895833333;5,1661031508;Chupa
Medvezhya;2013;18,1520833333;6,8683014601;Chupa
Seldyanaya;1987;3,3333333333;0,8645662193;Chupa
Seldyanaya;1988;5,1111111111;3,015904344;Chupa
Seldyanaya;1989;3,3333333333;0,6666666667;Chupa
Seldyanaya;1990;5,4166666667;1,3053406228;Chupa
Seldyanaya;1991;6,4166666667;1,3676917811;Chupa
Seldyanaya;1992;9,4166666667;2,310904104;Chupa
Seldyanaya;1993;15,25;4,2339268255;Chupa
Seldyanaya;1994;2,0833333333;1,8272972258;Chupa
Seldyanaya;1995;4,2;4,300317113;Chupa
Seldyanaya;1996;36,3625;13,5902582158;Chupa
Seldyanaya;1997;27,5416666667;6,4239367512;Chupa
Seldyanaya;1998;60,9041666667;21,3412350349;Chupa
Seldyanaya;1999;38,8;24,3513410822;Chupa
Seldyanaya;2000;22,61875;7,0006527868;Chupa
Seldyanaya;2001;29,7145833333;11,6930690663;Chupa
Seldyanaya;2002;27,8041666667;6,6527355627;Chupa
Seldyanaya;2003;42,0416666667;14,8180250639;Chupa
Seldyanaya;2004;71,7083333333;16,0848134819;Chupa
Seldyanaya;2005;92,6770833333;27,3334934155;Chupa
Seldyanaya;2006;84,7770833333;27,6815304048;Chupa
Seldyanaya;2007;104,4666666667;32,7617210019;Chupa
Seldyanaya;2008;39,8854166667;10,9874887778;Chupa
Seldyanaya;2009;46,4444444444;14,590896121;Chupa
Seldyanaya;2010;42,075;11,889454122;Chupa
Seldyanaya;2011;43,4729166667;14,4338375777;Chupa
Seldyanaya;2012;28,04375;13,1315593728;Chupa
Seldyanaya;2013;10,2375;2,5572099868;Chupa
Lomnishniy;2007;501;88,6622805933;North_arckipelago
Lomnishniy;2008;1530;295,0084744545;North_arckipelago
Lomnishniy;2009;813;241,1410375693;North_arckipelago
Lomnishniy;2010;540;168,1071087135;North_arckipelago
Lomnishniy;2011;378;118,4229707447;North_arckipelago
Lomnishniy;2012;513;90,9340420305;North_arckipelago
