sea;area;tidal_zone;mareographic;size_class;year;percentage
White;Estuary;middle;middle;(6,7];2002;21
White;Estuary;middle;middle;(7,8];2002;17
White;Estuary;middle;middle;(8,9];2002;9
White;Estuary;middle;middle;(9,10];2002;2
White;Estuary;middle;middle;(10,11];2002;2
White;Estuary;middle;middle;(11,12];2002;0
White;Estuary;middle;middle;(12,13];2002;0
White;Estuary;middle;middle;(13,14];2002;1
White;Estuary;middle;middle;(14,15];2002;1
White;Estuary;middle;middle;(15,16];2002;0
White;Estuary;middle;middle;(16,17];2002;0
White;Estuary;middle;middle;(17,18];2002;0
White;Estuary;middle;middle;(18,19];2002;0
White;Estuary;middle;middle;(19,20];2002;0
White;Estuary;middle;middle;(1,2];2003;25
White;Estuary;middle;middle;(2,3];2003;2
White;Estuary;middle;middle;(3,4];2003;2
White;Estuary;middle;middle;(4,5];2003;4
White;Estuary;middle;middle;(5,6];2003;6
White;Estuary;middle;middle;(6,7];2003;14
White;Estuary;middle;middle;(7,8];2003;18
White;Estuary;middle;middle;(8,9];2003;18
White;Estuary;middle;middle;(9,10];2003;6
White;Estuary;middle;middle;(10,11];2003;3
White;Estuary;middle;middle;(11,12];2003;0
White;Estuary;middle;middle;(12,13];2003;0
White;Estuary;middle;middle;(13,14];2003;0
White;Estuary;middle;middle;(14,15];2003;0
White;Estuary;middle;middle;(15,16];2003;0
White;Estuary;middle;middle;(16,17];2003;0
White;Estuary;middle;middle;(17,18];2003;0
White;Estuary;middle;middle;(18,19];2003;0
White;Estuary;middle;middle;(19,20];2003;0
White;Estuary;middle;middle;(1,2];2004;37
White;Estuary;middle;middle;(2,3];2004;11
White;Estuary;middle;middle;(3,4];2004;3
White;Estuary;middle;middle;(4,5];2004;2
White;Estuary;middle;middle;(5,6];2004;2
White;Estuary;middle;middle;(6,7];2004;5
White;Estuary;middle;middle;(7,8];2004;14
White;Estuary;middle;middle;(8,9];2004;15
White;Estuary;middle;middle;(9,10];2004;8
White;Estuary;middle;middle;(10,11];2004;3
White;Estuary;middle;middle;(11,12];2004;1
White;Estuary;middle;middle;(12,13];2004;0
White;Estuary;middle;middle;(13,14];2004;0
White;Estuary;middle;middle;(14,15];2004;0
White;Estuary;middle;middle;(15,16];2004;0
White;Estuary;middle;middle;(16,17];2004;0
White;Estuary;middle;middle;(17,18];2004;0
White;Estuary;middle;middle;(18,19];2004;0
White;Estuary;middle;middle;(19,20];2004;0
White;Estuary;middle;middle;(1,2];2005;19
White;Estuary;middle;middle;(2,3];2005;10
White;Estuary;middle;middle;(3,4];2005;10
White;Estuary;middle;middle;(4,5];2005;6
White;Estuary;middle;middle;(5,6];2005;4
White;Estuary;middle;middle;(6,7];2005;5
White;Estuary;middle;middle;(7,8];2005;9
White;Estuary;middle;middle;(8,9];2005;16
White;Estuary;middle;middle;(9,10];2005;16
White;Estuary;middle;middle;(10,11];2005;4
White;Estuary;middle;middle;(11,12];2005;1
White;Estuary;middle;middle;(12,13];2005;0
White;Estuary;middle;middle;(13,14];2005;0
White;Estuary;middle;middle;(14,15];2005;0
White;Estuary;middle;middle;(15,16];2005;0
White;Estuary;middle;middle;(16,17];2005;0
White;Estuary;middle;middle;(17,18];2005;0
White;Estuary;middle;middle;(18,19];2005;0
White;Estuary;middle;middle;(19,20];2005;0
White;Estuary;middle;middle;(1,2];2006;11
White;Estuary;middle;middle;(2,3];2006;6
White;Estuary;middle;middle;(3,4];2006;4
White;Estuary;middle;middle;(4,5];2006;6
White;Estuary;middle;middle;(5,6];2006;7
White;Estuary;middle;middle;(6,7];2006;8
White;Estuary;middle;middle;(7,8];2006;10
White;Estuary;middle;middle;(8,9];2006;8
White;Estuary;middle;middle;(9,10];2006;14
White;Estuary;middle;middle;(10,11];2006;18
White;Estuary;middle;middle;(11,12];2006;6
White;Estuary;middle;middle;(12,13];2006;1
White;Estuary;middle;middle;(13,14];2006;1
White;Estuary;middle;middle;(14,15];2006;0
White;Estuary;middle;middle;(15,16];2006;0
White;Estuary;middle;middle;(16,17];2006;0
White;Estuary;middle;middle;(17,18];2006;0
White;Estuary;middle;middle;(18,19];2006;0
White;Estuary;middle;middle;(19,20];2006;0
White;Estuary;middle;middle;(1,2];2007;56
White;Estuary;middle;middle;(2,3];2007;6
White;Estuary;middle;middle;(3,4];2007;4
White;Estuary;middle;middle;(4,5];2007;2
White;Estuary;middle;middle;(5,6];2007;2
White;Estuary;middle;middle;(6,7];2007;3
White;Estuary;middle;middle;(7,8];2007;5
White;Estuary;middle;middle;(8,9];2007;4
White;Estuary;middle;middle;(9,10];2007;4
White;Estuary;middle;middle;(10,11];2007;6
White;Estuary;middle;middle;(11,12];2007;4
White;Estuary;middle;middle;(12,13];2007;2
White;Estuary;middle;middle;(13,14];2007;0
White;Estuary;middle;middle;(14,15];2007;1
White;Estuary;middle;middle;(15,16];2007;0
White;Estuary;middle;middle;(16,17];2007;0
White;Estuary;middle;middle;(17,18];2007;0
White;Estuary;middle;middle;(18,19];2007;0
White;Estuary;middle;middle;(19,20];2007;0
White;Estuary;middle;middle;(1,2];2008;32
White;Estuary;middle;middle;(2,3];2008;11
White;Estuary;middle;middle;(3,4];2008;11
White;Estuary;middle;middle;(4,5];2008;6
White;Estuary;middle;middle;(5,6];2008;5
White;Estuary;middle;middle;(6,7];2008;3
White;Estuary;middle;middle;(7,8];2008;2
White;Estuary;middle;middle;(8,9];2008;3
White;Estuary;middle;middle;(9,10];2008;5
White;Estuary;middle;middle;(10,11];2008;7
White;Estuary;middle;middle;(11,12];2008;7
White;Estuary;middle;middle;(12,13];2008;6
White;Estuary;middle;middle;(13,14];2008;2
White;Estuary;middle;middle;(14,15];2008;0
White;Estuary;middle;middle;(15,16];2008;0
White;Estuary;middle;middle;(16,17];2008;0
White;Estuary;middle;middle;(17,18];2008;0
White;Estuary;middle;middle;(18,19];2008;0
White;Estuary;middle;middle;(19,20];2008;0
White;Estuary;middle;middle;(1,2];2009;31
White;Estuary;middle;middle;(2,3];2009;16
White;Estuary;middle;middle;(3,4];2009;10
White;Estuary;middle;middle;(4,5];2009;6
White;Estuary;middle;middle;(5,6];2009;8
White;Estuary;middle;middle;(6,7];2009;4
White;Estuary;middle;middle;(7,8];2009;5
White;Estuary;middle;middle;(8,9];2009;3
White;Estuary;middle;middle;(9,10];2009;2
White;Estuary;middle;middle;(10,11];2009;3
White;Estuary;middle;middle;(11,12];2009;5
White;Estuary;middle;middle;(12,13];2009;4
White;Estuary;middle;middle;(13,14];2009;2
White;Estuary;middle;middle;(14,15];2009;0
White;Estuary;middle;middle;(15,16];2009;0
White;Estuary;middle;middle;(16,17];2009;0
White;Estuary;middle;middle;(17,18];2009;0
White;Estuary;middle;middle;(18,19];2009;0
White;Estuary;middle;middle;(19,20];2009;0
White;Estuary;middle;middle;(1,2];2010;19
White;Estuary;middle;middle;(2,3];2010;17
White;Estuary;middle;middle;(3,4];2010;12
White;Estuary;middle;middle;(4,5];2010;8
White;Estuary;middle;middle;(5,6];2010;5
White;Estuary;middle;middle;(6,7];2010;6
White;Estuary;middle;middle;(7,8];2010;7
White;Estuary;middle;middle;(8,9];2010;5
White;Estuary;middle;middle;(9,10];2010;5
White;Estuary;middle;middle;(10,11];2010;6
White;Estuary;middle;middle;(11,12];2010;6
White;Estuary;middle;middle;(12,13];2010;3
White;Estuary;middle;middle;(13,14];2010;2
White;Estuary;middle;middle;(14,15];2010;0
White;Estuary;middle;middle;(15,16];2010;0
White;Estuary;middle;middle;(16,17];2010;0
White;Estuary;middle;middle;(17,18];2010;0
White;Estuary;middle;middle;(18,19];2010;0
White;Estuary;middle;middle;(19,20];2010;0
White;Estuary;middle;middle;(1,2];2011;10
White;Estuary;middle;middle;(2,3];2011;4
White;Estuary;middle;middle;(3,4];2011;8
White;Estuary;middle;middle;(4,5];2011;7
White;Estuary;middle;middle;(5,6];2011;9
White;Estuary;middle;middle;(6,7];2011;7
White;Estuary;middle;middle;(7,8];2011;8
White;Estuary;middle;middle;(8,9];2011;12
White;Estuary;middle;middle;(9,10];2011;10
White;Estuary;middle;middle;(10,11];2011;7
White;Estuary;middle;middle;(11,12];2011;10
White;Estuary;middle;middle;(12,13];2011;5
White;Estuary;middle;middle;(13,14];2011;2
White;Estuary;middle;middle;(14,15];2011;0
White;Estuary;middle;middle;(15,16];2011;0
White;Estuary;middle;middle;(16,17];2011;0
White;Estuary;middle;middle;(17,18];2011;0
White;Estuary;middle;middle;(18,19];2011;0
