month;date;year;m0;m5;m10;m15;m25;m50;m65
4;29;1984;0,4;-0,5;-0,5;-0,4;-0,8;-0,9;-0,9
5;10;1984;0,6;0,9;0,4;-0,1;-0,7;-0,9;-0,9
5;21;1984;7,4;3,5;1;-0,3;-0,8;-0,9;-0,9
5;31;1984;15;11,5;5;1;-0,5;-0,9;-0,9
6;9;1984;11,2;11;10;4,5;0,2;-0,7;-0,7
6;20;1984;13,2;6,5;2;0,6;-0,3;-0,8;-0,8
6;30;1984;14,6;14;11,4;9,8;2,5;-0,2;-0,3
7;9;1984;13,8;13,7;12;7,5;0,7;-0,8;-0,8
7;19;1984;13,8;13,8;11,7;9,6;4,5;0;-0,1
7;30;1984;15,6;13,3;11,5;10,1;5,8;1,7;1,3
8;11;1984;18;18,2;14,4;10;5,3;1,3;1,2
8;20;1984;13,8;14,1;14,1;13,9;5;0,9;0,6
8;30;1984;11,6;11,6;4,9;3;1,4;0,3;0,2
9;10;1984;9,2;9;7;5;2,4;1,2;1
9;21;1984;9;9;9;8,9;6,3;1,8;1,6
10;1;1984;7;7,3;7,5;7,4;6,5;3;2,8
10;11;1984;6;6,8;7;7;6,9;3,7;3,1
10;20;1984;5,3;5,6;6;6,4;6,7;4,6;4,2
10;30;1984;2,8;4,9;4,9;5;5,2;3;2,6
11;17;1984;3;3;3,3;3,7;4,2;2,1;1,5
12;15;1984;-0,9;-0,5;0;1,2;1,9;2;1,4
2;18;1985;-0,8;-1;-0,9;-0,5;0,7;0,8;0,8
3;15;1985;-0,8;-1;-0,9;-0,3;0,5;0,4;0,4
4;1;1985;-0,8;0;0,5;0,5;0,2;-0,3;-0,4
4;11;1985;-1,2;-0,9;-0,5;-0,3;-0,3;-0,7;-0,7
4;20;1985;-0,7;-0,4;-0,1;0,2;0;-0,3;-0,3
4;30;1985;-0,7;-0,3;0;0,1;0,1;-0,1;-0,3
5;10;1985;-0,6;-0,4;-0,1;0;-0,1;-0,3;-0,3
5;20;1985;0,3;-0,2;-0,2;0;0,1;-0,1;-0,2
5;30;1985;0,8;-0,2;-0,2;-0,2;-0,5;-0,7;-0,7
6;10;1985;5,4;4;1,6;0,5;-0,3;-0,5;-0,5
6;20;1985;13,4;9;5,6;4;0,8;-0,3;-0,3
6;30;1985;11,6;11,6;11,4;4,7;1,2;0;-0,2
7;9;1985;14,6;12,2;10,5;6;0,8;-0,1;-0,1
7;21;1985;14,1;13,2;10;6,5;1;-0,2;-0,2
7;30;1985;14;13,4;13,3;13,1;3;0,2;0,2
8;9;1985;14,2;14;13,3;9,5;3,2;0,5;0,5
8;19;1985;14,6;14,6;14,2;11;2,7;0,1;0,1
8;19;1985;14,6;14,6;14,2;11;2,7;0,1;0,1
8;30;1985;13,1;13,1;12,2;8;2,7;0,4;0,3
9;9;1985;12;12;11,9;9,5;5,2;1,1;1
9;19;1985;11,1;11,1;11,1;10;4,4;2,2;2,2
9;29;1985;8,2;8,2;8,5;8,5;3,5;0;-0,2
10;10;1985;5,4;4,3;3,5;2,3;1,5;0,3;0,3
10;19;1985;3,3;3,3;3,3;3,3;3,1;1,7;1,7
10;31;1985;1,6;1,6;2,3;2,4;2,7;2;1,9
11;16;1985;1,9;2;2,1;2,1;2,1;2,5;2,5
1;16;1986;-0,5;-0,4;-0,3;-0,2;0;0,4;0,5
2;16;1986;-0,6;-0,6;-0,6;-0,3;0,7;0,8;0,8
3;15;1986;-0,6;-0,6;-0,6;-0,2;0,1;-0,1;-0,2
3;31;1986;-0,5;-0,5;-0,3;-0,3;-0,1;-0,7;-0,8
4;11;1986;-0,6;-0,6;-0,6;-0,5;-0,3;-0,4;-0,5
4;21;1986;-0,4;-0,5;-0,5;-0,2;-0,1;-0,7;-1
5;7;1986;1;0;-0,3;-0,4;-0,5;-0,8;-0,9
5;21;1986;5,6;3,5;3;2,5;0,6;-0,5;-0,5
5;30;1986;4,3;4;3;2,8;1,5;-0,2;-0,4
6;9;1986;11,7;3,5;2,7;2,2;1,5;0;-0,1
6;19;1986;14,1;9;8;3,7;1;0;-0,1
6;30;1986;12;10;4,5;2,8;1,5;0;0
7;11;1986;12,2;10,5;7,2;4,1;2,1;0,7;0,6
7;20;1986;17,1;12,8;11,2;9;3,1;1,2;1,1
7;31;1986;19,1;14,6;11,2;9;5;1,5;1,2
8;10;1986;12,3;12,1;11,1;10,4;4,5;1,2;1
