year;sample;Length.mm
1999;mbb1;3,7
1999;mbb1;12
1999;mbb1;3,4
1999;mbb1;10,5
1999;mbb1;16,4
1999;mbb1;10,3
1999;mbb1;5,1
1999;mbb1;9,7
1999;mbb1;4,4
1999;mbb1;12,2
1999;mbb1;8,3
1999;mbb1;3
1999;mbb1;4
1999;mbb1;5,1
1999;mbb1;5,7
1999;mbb1;5,3
1999;mbb1;5,5
1999;mbb1;5,3
1999;mbb1;5,3
1999;mbb1;5,7
1999;mbb1;4,1
1999;mbb1;5,2
1999;mbb1;4,2
1999;mbb1;4,1
1999;mbb1;3,5
1999;mbb1;2,4
1999;mbb1;6,3
1999;mbb1;5,1
1999;mbb1;5,5
1999;mbb1;5,9
1999;mbb1;4,7
1999;mbb1;7,2
1999;mbb1;5,2
1999;mbb1;5,1
1999;mbb1;6,1
1999;mbb1;4,6
1999;mbb1;1,4
1999;mbb1;1,5
1999;mbb1;4,5
1999;mbb1;1,4
1999;mbb1;3
1999;mbb1;3,4
1999;mbb1;2,6
1999;mbb1;2,6
1999;mbb1;1,4
1999;mbb1;1,5
1999;mbb1;7,6
1999;mbb1;4,7
1999;mbb1;3,1
1999;mbb1;1,9
1999;mbb1;5,3
1999;mbb1;4,8
1999;mbb1;1,5
1999;mbb1;1,7
1999;mbb1;5,5
1999;mbb1;3,1
1999;mbb1;4,2
1999;mbb1;4
1999;mbb1;3,5
1999;mbb1;3,7
1999;mbb1;4,9
1999;mbb1;6
1999;mbb1;3,7
1999;mbb1;1,2
1999;mbb1;4,3
1999;mbb1;4,6
1999;mbb1;4,6
1999;mbb1;2,7
1999;mbb1;4,7
1999;mbb1;3
1999;mbb1;2
1999;mbb1;1,7
1999;mbb1;1,8
1999;mbb1;5,5
1999;mbb1;5,6
1999;mbb1;1,3
1999;mbb1;6
1999;mbb1;6,4
1999;mbb1;4
1999;mbb1;4,1
1999;mbb1;5,4
1999;mbb1;5
1999;mbb1;3,4
1999;mbb1;2,7
1999;mbb1;1,7
1999;mbb1;5
1999;mbb1;3,8
1999;mbb1;4,1
1999;mbb1;3
1999;mbb1;4,1
1999;mbb1;4,8
1999;mbb1;4
1999;mbb1;5,3
1999;mbb1;4,6
1999;mbb1;2,2
1999;mbb1;2,3
1999;mbb1;1,8
1999;mbb1;1,7
1999;mbb1;5,7
1999;mbb1;3,1
1999;mbb1;3,5
1999;mbb1;3,7
1999;mbb1;3,9
1999;mbb1;3,6
1999;mbb1;6,5
1999;mbb1;3,3
1999;mbb1;3,4
1999;mbb1;2,9
1999;mbb1;2,1
1999;mbb1;4,3
1999;mbb1;4,2
1999;mbb1;3,4
1999;mbb1;3,5
1999;mbb1;4,5
1999;mbb1;6,1
1999;mbb1;4,3
1999;mbb1;3,5
1999;mbb1;3,7
1999;mbb1;1,7
1999;mbb1;1,5
1999;mbb1;1,5
1999;mbb1;1,3
1999;mbb1;5
1999;mbb1;4,7
1999;mbb1;4,6
1999;mbb1;1,4
1999;mbb1;2,1
1999;mbb1;2,2
1999;mbb1;1,8
1999;mbb1;2,1
1999;mbb1;1,5
1999;mbb1;4,1
1999;mbb1;4,7
1999;mbb1;2,9
1999;mbb1;1,7
1999;mbb1;1,6
1999;mbb1;2,9
1999;mbb1;2,1
1999;mbb1;3,4
1999;mbb1;1,3
1999;mbb1;3,2
1999;mbb1;4,2
1999;mbb1;3,3
1999;mbb1;1,5
1999;mbb1;1,3
1999;mbb1;1,4
1999;mbb1;1,1
1999;mbb1;1,8
1999;mbb1;1,2
1999;mbb1;1,3
1999;mbb1;1,7
1999;mbb1;1,4
1999;mbb1;1,1
1999;mbb1;1,1
1999;mbb1;1,7
1999;mbb1;1,3
1999;mbb1;1,1
1999;mbb1;1,3
1999;mbb1;1,7
1999;mbb1;1,4
1999;mbb1;1,6
1999;mbb1;1,2
1999;mbb1;1,4
1999;mbb1;1,3
1999;mbb1;1,8
1999;mbb1;1,4
1999;mbb1;1,6
1999;mbb1;1,7
1999;mbb1;1,4
1999;mbb1;1,4
1999;mbb1;1,4
1999;mbb1;2,4
1999;mbb1;1,6
1999;mbb1;1,3
1999;mbb1;1,6
1999;mbb1;1,4
1999;mbb1;1,2
1999;mbb1;1,1
1999;mbb1;1,2
1999;mbb1;1,9
1999;mbb1;3,5
1999;mbb1;1,5
1999;mbb1;1
1999;mbb1;5,1
1999;mbb1;3,5
1999;mbb1;2,2
1999;mbb1;1,2
1999;mbb1;2,1
1999;mbb1;1,2
1999;mbb1;3
1999;mbb1;1,5
1999;mbb1;1,3
1999;mbb1;3,1
1999;mbb1;2
1999;mbb1;1,6
1999;mbb1;1,7
1999;mbb1;1,5
1999;mbb1;1,9
1999;mbb1;1,8
1999;mbb1;2,6
1999;mbb1;2,7
1999;mbb1;1,4
1999;mbb1;1,9
1999;mbb1;2,1
1999;mbb1;2
1999;mbb1;1,6
1999;mbb1;1,4
1999;mbb1;1,8
1999;mbb1;1,3
1999;mbb1;1,7
1999;mbb1;1,4
1999;mbb1;1,8
1999;mbb1;1,8
1999;mbb1;1,4
1999;mbb1;1,5
1999;mbb1;1,7
1999;mbb1;2,6
1999;mbb1;1,4
1999;mbb1;1,8
1999;mbb1;1,3
1999;mbb1;1,1
1999;mbb1;1,5
1999;mbb1;3,7
1999;mbb1;1,4
1999;mbb1;1,5
1999;mbb1;1,3
1999;mbb1;4,1
1999;mbb1;1
1999;mbb1;1,4
1999;mbb1;1,4
1999;mbb1;3,3
1999;mbb1;1,5
1999;mbb1;1,2
1999;mbb1;1,8
