"oneyear.int";"year";"sample";"Freq"
"646";"(1.2,1.8]";"2006";"3me2";NA
"650";"(1.2,1.8]";"2007";"3me2";12
"654";"(1.2,1.8]";"2008";"3me2";NA
"658";"(1.2,1.8]";"2009";"3me2";NA
"662";"(1.2,1.8]";"2010";"3me2";NA
"666";"(1.2,1.8]";"2011";"3me2";NA
"670";"(1.2,1.8]";"2012";"3me2";NA
"674";"(1.2,1.8]";"1992";"3me3";NA
"678";"(1.2,1.8]";"1993";"3me3";NA
"682";"(1.2,1.8]";"1994";"3me3";NA
"686";"(1.2,1.8]";"1995";"3me3";NA
"690";"(1.2,1.8]";"1996";"3me3";NA
"694";"(1.2,1.8]";"1997";"3me3";NA
"698";"(1.2,1.8]";"1998";"3me3";NA
"702";"(1.2,1.8]";"1999";"3me3";NA
"706";"(1.2,1.8]";"2000";"3me3";NA
"710";"(1.2,1.8]";"2001";"3me3";NA
"714";"(1.2,1.8]";"2002";"3me3";NA
"718";"(1.2,1.8]";"2003";"3me3";NA
"722";"(1.2,1.8]";"2004";"3me3";NA
"726";"(1.2,1.8]";"2005";"3me3";NA
"730";"(1.2,1.8]";"2006";"3me3";NA
"734";"(1.2,1.8]";"2007";"3me3";49
"738";"(1.2,1.8]";"2008";"3me3";NA
"742";"(1.2,1.8]";"2009";"3me3";NA
"746";"(1.2,1.8]";"2010";"3me3";NA
"750";"(1.2,1.8]";"2011";"3me3";NA
"754";"(1.2,1.8]";"2012";"3me3";NA
"758";"(1.2,1.8]";"1992";"me1";0
"762";"(1.2,1.8]";"1993";"me1";0
"766";"(1.2,1.8]";"1994";"me1";8
"770";"(1.2,1.8]";"1995";"me1";3
"774";"(1.2,1.8]";"1996";"me1";0
"778";"(1.2,1.8]";"1997";"me1";0
"782";"(1.2,1.8]";"1998";"me1";20
"786";"(1.2,1.8]";"1999";"me1";70
"790";"(1.2,1.8]";"2000";"me1";5
"794";"(1.2,1.8]";"2001";"me1";16
"798";"(1.2,1.8]";"2002";"me1";0
"802";"(1.2,1.8]";"2003";"me1";57
"806";"(1.2,1.8]";"2004";"me1";72
"810";"(1.2,1.8]";"2005";"me1";16
"814";"(1.2,1.8]";"2006";"me1";9
"818";"(1.2,1.8]";"2007";"me1";NA
"822";"(1.2,1.8]";"2008";"me1";80
"826";"(1.2,1.8]";"2009";"me1";24
"830";"(1.2,1.8]";"2010";"me1";13
"834";"(1.2,1.8]";"2011";"me1";NA
"838";"(1.2,1.8]";"2012";"me1";3
"842";"(1.2,1.8]";"1992";"me11";NA
"846";"(1.2,1.8]";"1993";"me11";NA
"850";"(1.2,1.8]";"1994";"me11";NA
"854";"(1.2,1.8]";"1995";"me11";NA
"858";"(1.2,1.8]";"1996";"me11";NA
"862";"(1.2,1.8]";"1997";"me11";NA
"866";"(1.2,1.8]";"1998";"me11";NA
"870";"(1.2,1.8]";"1999";"me11";NA
"874";"(1.2,1.8]";"2000";"me11";NA
"878";"(1.2,1.8]";"2001";"me11";NA
"882";"(1.2,1.8]";"2002";"me11";NA
"886";"(1.2,1.8]";"2003";"me11";NA
"890";"(1.2,1.8]";"2004";"me11";NA
"894";"(1.2,1.8]";"2005";"me11";NA
"898";"(1.2,1.8]";"2006";"me11";NA
"902";"(1.2,1.8]";"2007";"me11";NA
