year;sample;Length.mm
1993;me5;2,6
1993;me5;NA
1993;me6;13
1993;me6;13,7
1993;me6;5,1
1993;me6;13,2
1993;me6;4,8
1993;me6;3,2
1993;me6;8
1993;me6;3,7
1993;me6;4,1
1993;me6;3,5
1993;me6;3,9
1993;me6;3,7
1993;me6;13,2
1993;me6;4,2
1993;me6;3,7
1993;me6;13,6
1993;me6;3,4
1993;me6;3,5
1993;me6;4,5
1993;me6;2,8
1993;me6;4,2
1993;me6;2,7
1993;me6;14,7
1993;me6;3,9
1993;me6;3,5
1993;me6;NA
1994;me1;12,6
1994;me1;8,4
1994;me1;14,8
1994;me1;15
1994;me1;15,3
1994;me1;8,9
1994;me1;8,7
1994;me1;7
1994;me1;10,3
1994;me1;5,5
1994;me1;9,1
1994;me1;8
1994;me1;2,5
1994;me1;5,8
1994;me1;7,9
1994;me1;7,8
1994;me1;7,3
1994;me1;8,7
1994;me1;4,4
1994;me1;8,1
1994;me1;7,9
1994;me1;7
1994;me1;9,8
1994;me1;5,1
1994;me1;8,1
1994;me1;7
1994;me1;8,4
1994;me1;7,4
1994;me1;10,2
1994;me1;8
1994;me1;6,3
1994;me1;8
1994;me1;6,8
1994;me1;9,8
1994;me1;3,3
1994;me1;9,1
1994;me1;7,3
1994;me1;9
1994;me1;10,1
1994;me1;8
1994;me1;1,7
1994;me1;5,8
1994;me1;10,2
1994;me1;7,7
1994;me1;7,5
1994;me1;7,6
1994;me1;9,2
1994;me1;9,1
1994;me1;15,7
1994;me1;8,2
1994;me1;7,2
1994;me1;9,6
1994;me1;6,8
1994;me1;7,2
1994;me1;8
1994;me1;8,7
1994;me1;9,3
1994;me1;7,7
1994;me1;5
1994;me1;9,3
1994;me1;8,2
1994;me1;7,7
1994;me1;3
1994;me1;8,6
1994;me1;7,6
1994;me1;8,8
1994;me1;5,3
1994;me1;6,6
1994;me1;7,4
1994;me1;3,5
1994;me1;4,8
1994;me1;2,1
1994;me1;1,6
1994;me1;1,4
1994;me1;1,9
1994;me1;1,5
1994;me1;1,2
1994;me1;1,6
1994;me1;1,5
1994;me1;1,8
1994;me1;1,2
1994;me1;1,4
1994;me1;2,1
1994;me1;1,9
1994;me1;2,1
1994;me1;2,9
1994;me1;2,9
1994;me1;2,1
1994;me1;2,5
1994;me1;2,7
1994;me1;5,7
1994;me1;6,6
1994;me1;7,9
1994;me1;15,1
1994;me2;8,4
1994;me2;15,4
1994;me2;9,2
1994;me2;10,6
1994;me2;8,6
1994;me2;10,5
1994;me2;9,5
1994;me2;8,5
1994;me2;9,5
1994;me2;8
1994;me2;15,8
1994;me2;8,8
1994;me2;9,3
1994;me2;7,3
1994;me2;14,1
1994;me2;8,6
1994;me2;8,1
1994;me2;9,3
1994;me2;14,2
1994;me2;7,6
1994;me2;7,8
1994;me2;14,8
1994;me2;8,2
1994;me2;7
1994;me2;9,8
1994;me2;10,4
1994;me2;8,8
1994;me2;8,6
1994;me2;14
1994;me2;9,8
1994;me2;9,9
1994;me2;7,8
1994;me2;6,4
1994;me2;8,6
1994;me2;9,8
1994;me2;12,9
1994;me2;7,2
1994;me2;6,9
1994;me2;2,8
1994;me2;9,7
1994;me2;9,8
1994;me2;8,3
1994;me2;7,8
1994;me2;8,9
1994;me2;15,9
1994;me2;6,9
1994;me2;9,1
1994;me2;6,3
1994;me2;11
1994;me2;3,3
1994;me2;6,4
1994;me2;7,2
1994;me2;5,6
1994;me2;4,6
1994;me2;6,8
1994;me2;10,2
1994;me2;9,3
1994;me2;9,3
1994;me2;9
1994;me2;7,6
1994;me2;6,7
1994;me2;6,7
1994;me2;4,1
1994;me2;6,4
1994;me2;2,1
1994;me2;3,8
1994;me2;2
1994;me2;1,7
1994;me2;2
1994;me2;2,2
1994;me2;1,8
1994;me2;2,4
1994;me2;1,8
1994;me2;2,6
1994;me2;2,1
