year;sample;Length.mm
2008;10m3;14,5
2008;10m3;16,9
2008;10m3;17,3
2008;10m3;17,9
2008;3m3;2,3
2008;3m3;8,2
2008;3m3;9,2
2008;3m3;11,6
2008;3m3;17,2
2008;8m1;18,4
2008;10m2;11,7
2008;10m2;17
2008;9m2;13,5
2008;9m2;3,9
2008;4m1;18,8
2008;3m1;3,7
2008;3m1;10,7
2008;3m1;9,5
2008;3m1;16,8
2008;2m2;13,4
2008;2m2;7,8
2008;9m3;3,8
2008;9m3;4
2008;9m3;4,3
2008;9m3;8,6
2008;6m2;15
2008;2m3;4
2008;2m3;13
2008;2m3;13,6
2008;2m3;13,5
2008;2m3;15
2008;2m3;18,9
2008;1m1;10,3
2008;1m1;18,1
2008;4m3;2,7
2008;4m3;12,8
2008;4m3;16,4
2008;4m3;15,3
2008;9m1;13,8
2008;9m1;15,7
2008;9m1;15,8
2008;13m3;4,1
2008;13m3;4
2008;13m3;15,9
2008;17m3;2,9
2008;17m3;13,5
2008;17m3;18,8
2008;19m1;16,7
2008;19m1;15,7
2008;19m1;16,1
2008;22m1;3,9
2008;22m1;14,8
2008;22m1;16,2
2008;22m1;18,8
2008;22m1;18
2008;22m1;17,2
2008;22m2;14,9
2008;20m2;7,1
2008;14m3;9,3
2008;14m3;20,1
2008;14m2;8,1
2008;14m2;12,5
2008;14m2;11,3
2008;14m2;13,3
2008;24m2;15
2008;24m1;20
2008;19m2;17
2008;23m2;9,6
2008;23m2;13,2
2008;17m2;16,1
2008;21m2;3,4
2008;21m2;4,4
2008;21m2;16,4
2008;21m2;19,8
2008;21m2;18,7
2008;18m1;12,7
2008;18m1;11,6
2008;19m3;10,3
2008;19m3;10,1
2008;22m3;10,2
2008;21m3;5,5
2008;21m3;18,6
2008;21m3;16,6
2008;21m3;18,2
2008;20m3;14,8
2008;20m3;17,8
2008;15m3;11,5
2008;15m3;18
2008;15m3;15,8
2008;15m3;17,6
2008;13m1;19,9
2008;23m3;15,3
2008;21m1;16,6
2008;16m3;15,7
2008;16m3;12
2008;18m3;10,7
2008;18m3;11,1
2008;18m3;15,1
2008;18m3;15
2008;17m1;3,1
2008;17m1;18,1
2008;13m2;11,6
2008;14m1;12,9
2008;14m1;16,5
2008;14m1;16,3
2008;23m1;7,4
2008;23m1;12,5
2008;23m1;13,2
2008;15m1;2,5
2008;15m1;8,2
2008;15m1;7,3
2008;15m1;15
2008;15m1;15
2008;15m1;19,9
