day;month;year;area;Nst;sample;N.sample;B.sample
30;7;2000;Medvezhya;5;n2;16,375;0,34
13;8;2001;Medvezhya;5;n2;25,8;0,19
11;8;2002;Medvezhya;5;n2;54,875;0,16
10;8;2003;Medvezhya;5;n2;26,2;0,05
14;8;2004;Medvezhya;5;n2;3,275;0,04
2;8;2005;Medvezhya;5;n2;9,825;1,57
5;8;2006;Medvezhya;5;n2;16,375;1,72
8;8;2007;Medvezhya;5;n2;25,8;1,15
14;8;2008;Medvezhya;5;n2;0;0
15;8;2009;Medvezhya;5;n2;22,525;0,33
2;8;2010;Medvezhya;5;n2;16,375;2,13
1;8;2011;Medvezhya;5;n2;13,1;1,18
4;8;2012;Medvezhya;5;n2;6,55;0,60
6;8;2013;Medvezhya;5;n2;3,275;1,14
23;7;1987;Medvezhya;6;n2;3;0,21
14;8;1988;Medvezhya;6;n2;2;0,06
26;7;1989;Medvezhya;6;n2;4;0,41
3;8;1990;Medvezhya;6;n2;4;0,42
31;7;1991;Medvezhya;6;n2;8;0,52
3;8;1992;Medvezhya;6;n2;1;0,06
16;8;1993;Medvezhya;6;n2;1;0,01
12;8;1994;Medvezhya;6;n2;9,55;0,34
9;8;1995;Medvezhya;6;n2;3;0,12
2;8;1996;Medvezhya;6;n2;14,55;0,74
24;7;1997;Medvezhya;6;n2;55,85;2,69
8;8;1998;Medvezhya;6;n2;16,7;0,43
16;8;1999;Medvezhya;6;n2;NA;NA
24;7;2000;Medvezhya;6;n2;3,275;0,05
13;8;2001;Medvezhya;6;n2;3,275;0,46
11;8;2002;Medvezhya;6;n2;35,625;1,74
10;8;2003;Medvezhya;6;n2;86,825;0,50
14;8;2004;Medvezhya;6;n2;13,1;2,13
2;8;2005;Medvezhya;6;n2;63,5;0,03
5;8;2006;Medvezhya;6;n2;9,825;1,15
8;8;2007;Medvezhya;6;n2;19,65;0,84
14;8;2008;Medvezhya;6;n2;6,55;0,66
15;8;2009;Medvezhya;6;n2;61,425;0,53
2;8;2010;Medvezhya;6;n2;3,275;0,03
