day;month;year;area;Nst;sample;N.sqmeter
25;7;1998;Seldyanaya;1;n2;2
15;8;1999;Seldyanaya;1;n2;NA
13;8;2000;Seldyanaya;1;n2;52,4
6;8;2001;Seldyanaya;1;n2;127,725
4;8;2002;Seldyanaya;1;n2;62,225
5;8;2003;Seldyanaya;1;n2;26,2
7;8;2004;Seldyanaya;1;n2;32,75
23;7;2005;Seldyanaya;1;n2;52,4
30;7;2006;Seldyanaya;1;n2;68,375
4;8;2007;Seldyanaya;1;n2;153,925
5;8;2008;Seldyanaya;1;n2;133,875
6;8;2009;Seldyanaya;1;n2;72,05
28;7;2010;Seldyanaya;1;n2;65,1
6;8;2011;Seldyanaya;1;n2;119,575
30;7;2012;Seldyanaya;1;n2;49,125
29;7;2013;Seldyanaya;1;n2;9,825
12;7;1987;Seldyanaya;2;n2;2
28;7;1988;Seldyanaya;2;n2;8
17;7;1989;Seldyanaya;2;n2;4
19;7;1990;Seldyanaya;2;n2;3
22;7;1991;Seldyanaya;2;n2;3
26;7;1992;Seldyanaya;2;n2;28
27;7;1993;Seldyanaya;2;n2;8
9;8;1994;Seldyanaya;2;n2;0
4;8;1995;Seldyanaya;2;n2;0
30;7;1996;Seldyanaya;2;n2;65,95
21;7;1997;Seldyanaya;2;n2;17,55
27;7;1998;Seldyanaya;2;n2;223,45
15;8;1999;Seldyanaya;2;n2;NA
6;8;2000;Seldyanaya;2;n2;3,275
6;8;2001;Seldyanaya;2;n2;3,275
4;8;2002;Seldyanaya;2;n2;58,95
5;8;2003;Seldyanaya;2;n2;163,825
7;8;2004;Seldyanaya;2;n2;154
23;7;2005;Seldyanaya;2;n2;215,825
30;7;2006;Seldyanaya;2;n2;114,625
4;8;2007;Seldyanaya;2;n2;180,125
5;8;2008;Seldyanaya;2;n2;55,275
6;8;2009;Seldyanaya;2;n2;88,025
28;7;2010;Seldyanaya;2;n2;104,4
6;8;2011;Seldyanaya;2;n2;22,925
30;7;2012;Seldyanaya;2;n2;19,65
29;7;2013;Seldyanaya;2;n2;0
18;7;1987;Seldyanaya;3;n2;2
1;8;1988;Seldyanaya;3;n2;1
14;7;1989;Seldyanaya;3;n2;5
