year,sample,square,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,Total
2006,mg3-2,1/30,1,1,0,0,0,0,1,1,4,10,2,1,1,0,0,0,0,0,0,0,22
2006,mg3-3,1/30,0,3,0,0,0,2,2,2,0,4,3,1,0,0,0,0,0,0,0,0,17
2006,mg4-1,1/30,1,0,2,0,3,0,2,1,1,9,7,2,0,1,0,0,0,0,0,0,29
2006,mg4-2,1/30,0,1,1,1,2,1,1,2,5,10,7,1,1,0,0,0,0,0,0,0,33
2006,mg4-3,1/30,0,0,0,0,1,2,3,1,1,1,1,4,1,0,0,0,0,0,0,0,15
2007,1mg1,1/30,4,20,0,2,1,1,0,6,6,2,4,0,0,0,0,0,0,0,0,0,46
2007,1mg2,1/30,9,49,1,1,2,2,1,3,7,3,3,0,0,0,0,0,0,0,0,0,81
2007,1mg3,1/30,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,5
2007,1mg4,1/30,0,0,2,0,1,0,1,0,3,5,8,1,2,0,0,0,0,0,0,0,23
2007,2mg1,1/30,7,47,2,3,4,2,4,2,5,3,2,0,0,0,0,0,0,0,0,0,81
2007,2mg2,1/30,7,65,3,2,1,0,2,2,8,6,0,0,0,0,0,0,0,0,0,0,96
2007,2mg3,1/30,1,5,5,1,2,0,0,0,4,2,3,2,0,0,0,0,0,0,0,0,25
2007,2mg4,1/30,0,1,0,1,1,0,1,1,1,3,5,4,1,0,0,0,0,0,0,0,19
2007,3mg1,1/30,7,45,6,1,3,3,1,2,7,6,4,0,0,0,0,0,0,0,0,0,85
2007,3mg2,1/30,4,19,2,1,3,0,1,2,4,4,2,0,0,0,0,0,0,0,0,0,42
2007,3mg3,1/30,1,4,3,1,0,0,0,1,4,5,5,2,0,0,0,0,0,0,0,0,26
2007,3mg4,1/30,3,2,1,0,1,1,0,3,1,8,4,1,1,1,0,0,0,0,0,0,27
2008,Mg1-1,1/30,1,17,2,1,0,1,5,2,3,0,4,0,0,0,0,0,0,0,0,0,36
2008,Mg1-2,1/30,5,21,2,0,0,1,5,1,6,2,3,1,1,0,0,0,0,0,0,0,48
2008,Mg1-3,1/30,2,4,2,3,3,4,2,4,6,4,0,0,0,0,0,0,0,0,0,0,34
2008,Mg2-1,1/30,4,39,13,6,9,5,3,1,2,2,2,0,1,0,0,0,0,0,0,0,87
2008,Mg2-2,1/30,11,27,27,16,11,3,4,1,1,0,2,3,0,0,0,0,0,0,0,0,106
2008,Mg2-3,1/30,8,44,23,11,2,1,3,1,6,2,2,0,1,0,0,0,0,0,0,0,104
2008,Mg3-1,1/30,1,17,17,4,3,1,2,1,2,1,2,3,2,0,0,0,0,0,0,0,56
2008,Mg3-2,1/30,2,0,5,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,11
2008,Mg3-3,1/30,3,6,5,6,3,2,1,4,3,6,3,0,0,0,0,0,0,0,0,0,42
2008,Mg4-1,1/30,0,5,2,3,2,2,1,0,1,2,2,3,1,1,0,0,0,0,0,0,25
2008,Mg4-2,1/30,1,7,2,0,0,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,17
2008,Mg4-3,1/30,0,3,8,1,1,2,0,0,1,0,7,3,3,2,0,0,0,0,0,2,33
2009,mg1,1/10,6,78,31,15,2,5,8,12,14,7,10,2,0,1,0,0,1,0,0,0,192
2009,mg2,1/10,3,29,15,14,9,14,13,7,8,11,2,4,2,0,0,0,0,0,0,0,131
2009,mg3,1/10,3,24,8,5,6,5,2,4,8,10,5,2,0,0,0,0,0,0,0,0,82
2009,mg4,1/10,0,5,2,3,3,1,4,1,0,2,7,10,5,4,0,0,0,0,0,0,47
2010,mg1,1/10,5,6,15,6,14,14,5,8,3,5,10,3,1,0,0,0,0,0,0,0,95
2010,mg2,1/10,100,5,6,8,6,10,6,9,4,5,8,2,0,0,0,0,0,0,0,0,169
2010,mg3,1/10,1,5,11,11,22,23,14,11,8,12,10,4,2,0,0,0,0,0,0,0,134
2010,mg4,1/10,5,12,34,12,8,9,8,9,4,3,2,3,4,4,1,1,0,0,0,0,119
2011,Mg1-1,1/30,16,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21
2011,Mg1-2,1/30,38,8,23,23,26,11,2,1,1,0,0,0,0,0,0,0,0,0,0,0,133
2011,Mg1-3,1/30,13,7,20,35,21,10,3,3,1,0,0,0,0,0,0,0,0,0,0,0,113
2011,Mg2-1,1/30,35,10,12,8,2,0,1,2,5,4,6,2,1,0,0,0,0,0,0,0,88
2011,Mg2-2,1/30,22,6,3,3,0,0,1,2,3,6,2,1,1,0,0,0,0,0,0,0,50
2011,Mg2-3,1/30,38,6,8,15,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78
2011,Mg3-1,1/30,4,22,3,0,2,3,2,3,5,3,1,0,0,0,0,0,0,0,0,0,48
2011,Mg3-2,1/30,0,11,2,3,2,4,5,1,9,7,3,2,0,0,0,0,0,0,0,0,49
2011,Mg3-3,1/30,0,22,10,4,1,3,5,4,9,0,5,1,2,0,0,0,0,0,0,0,66
2011,Mg4-1,1/30,11,3,2,2,3,2,6,1,1,1,0,1,1,0,0,1,0,0,0,0,35
2011,Mg4-2,1/30,2,16,5,2,5,2,0,5,6,2,2,0,3,0,0,0,0,0,0,0,50
2011,Mg4-3,1/30,5,14,3,1,3,1,1,3,4,1,1,3,2,0,0,1,0,0,0,0,43
2012,mg1,1/10,3,43,30,8,10,12,20,19,20,10,4,1,3,0,0,0,0,0,0,0,183
2012,mg2,1/10,4,38,26,22,9,5,5,9,13,23,18,10,1,0,0,0,0,0,0,0,183
2012,mg3,1/10,0,8,3,3,15,7,12,10,5,4,8,0,1,0,0,0,0,0,0,0,76
2012,mg4,1/10,1,2,4,2,3,5,15,14,12,5,5,4,5,6,2,0,0,0,0,0,85
