"Var1";"Var2";"Var3";"Freq"
"80";"2008";"1mg4";"high";NA
"81";"2009";"1mg4";"high";NA
"82";"2010";"1mg4";"high";NA
"83";"2011";"1mg4";"high";NA
"84";"2012";"1mg4";"high";NA
"85";"1992";"2mg1";"high";NA
"86";"1993";"2mg1";"high";NA
"87";"1994";"2mg1";"high";NA
"88";"1995";"2mg1";"high";NA
"89";"1996";"2mg1";"high";NA
"90";"1997";"2mg1";"high";NA
"91";"1998";"2mg1";"high";NA
"92";"1999";"2mg1";"high";NA
"93";"2000";"2mg1";"high";NA
"94";"2001";"2mg1";"high";NA
"95";"2002";"2mg1";"high";NA
"96";"2003";"2mg1";"high";NA
"97";"2004";"2mg1";"high";NA
"98";"2005";"2mg1";"high";NA
"99";"2006";"2mg1";"high";NA
"100";"2007";"2mg1";"high";2220
"101";"2008";"2mg1";"high";NA
"102";"2009";"2mg1";"high";NA
"103";"2010";"2mg1";"high";NA
"104";"2011";"2mg1";"high";NA
"105";"2012";"2mg1";"high";NA
"106";"1992";"2mg2";"high";NA
"107";"1993";"2mg2";"high";NA
"108";"1994";"2mg2";"high";NA
"109";"1995";"2mg2";"high";NA
"110";"1996";"2mg2";"high";NA
"111";"1997";"2mg2";"high";NA
"112";"1998";"2mg2";"high";NA
"113";"1999";"2mg2";"high";NA
"114";"2000";"2mg2";"high";NA
"115";"2001";"2mg2";"high";NA
"116";"2002";"2mg2";"high";NA
"117";"2003";"2mg2";"high";NA
"118";"2004";"2mg2";"high";NA
"119";"2005";"2mg2";"high";NA
"120";"2006";"2mg2";"high";NA
"121";"2007";"2mg2";"high";NA
"122";"2008";"2mg2";"high";NA
"123";"2009";"2mg2";"high";NA
"124";"2010";"2mg2";"high";NA
"125";"2011";"2mg2";"high";NA
"126";"2012";"2mg2";"high";NA
"127";"1992";"2mg3";"high";NA
"128";"1993";"2mg3";"high";NA
"129";"1994";"2mg3";"high";NA
"130";"1995";"2mg3";"high";NA
"131";"1996";"2mg3";"high";NA
"132";"1997";"2mg3";"high";NA
"133";"1998";"2mg3";"high";NA
"134";"1999";"2mg3";"high";NA
"135";"2000";"2mg3";"high";NA
"136";"2001";"2mg3";"high";NA
"137";"2002";"2mg3";"high";NA
"138";"2003";"2mg3";"high";NA
"139";"2004";"2mg3";"high";NA
"140";"2005";"2mg3";"high";NA
"141";"2006";"2mg3";"high";NA
"142";"2007";"2mg3";"high";NA
"143";"2008";"2mg3";"high";NA
"144";"2009";"2mg3";"high";NA
"145";"2010";"2mg3";"high";NA
"146";"2011";"2mg3";"high";NA
"147";"2012";"2mg3";"high";NA
"148";"1992";"2mg4";"high";NA
"149";"1993";"2mg4";"high";NA
"150";"1994";"2mg4";"high";NA
"151";"1995";"2mg4";"high";NA
"152";"1996";"2mg4";"high";NA
"153";"1997";"2mg4";"high";NA
"154";"1998";"2mg4";"high";NA
"155";"1999";"2mg4";"high";NA
"156";"2000";"2mg4";"high";NA
"157";"2001";"2mg4";"high";NA
"158";"2002";"2mg4";"high";NA
"159";"2003";"2mg4";"high";NA
"160";"2004";"2mg4";"high";NA
"161";"2005";"2mg4";"high";NA
"162";"2006";"2mg4";"high";NA
"163";"2007";"2mg4";"high";NA
"164";"2008";"2mg4";"high";NA
"165";"2009";"2mg4";"high";NA
"166";"2010";"2mg4";"high";NA
"167";"2011";"2mg4";"high";NA
"168";"2012";"2mg4";"high";NA
"169";"1992";"3mg1";"high";NA
"170";"1993";"3mg1";"high";NA
"171";"1994";"3mg1";"high";NA
