"Var1";"Var2";"Var3";"Freq"
"725";"2002";"mg3";"high";NA
"726";"2003";"mg3";"high";NA
"727";"2004";"mg3";"high";NA
"728";"2005";"mg3";"high";NA
"729";"2006";"mg3";"high";NA
"730";"2007";"mg3";"high";NA
"731";"2008";"mg3";"high";NA
"732";"2009";"mg3";"high";NA
"733";"2010";"mg3";"high";NA
"734";"2011";"mg3";"high";NA
"735";"2012";"mg3";"high";NA
"736";"1992";"mg3-1";"high";NA
"737";"1993";"mg3-1";"high";NA
"738";"1994";"mg3-1";"high";NA
"739";"1995";"mg3-1";"high";NA
"740";"1996";"mg3-1";"high";NA
"741";"1997";"mg3-1";"high";NA
"742";"1998";"mg3-1";"high";NA
"743";"1999";"mg3-1";"high";NA
"744";"2000";"mg3-1";"high";NA
"745";"2001";"mg3-1";"high";NA
"746";"2002";"mg3-1";"high";NA
"747";"2003";"mg3-1";"high";NA
"748";"2004";"mg3-1";"high";NA
"749";"2005";"mg3-1";"high";NA
"750";"2006";"mg3-1";"high";NA
"751";"2007";"mg3-1";"high";NA
"752";"2008";"mg3-1";"high";NA
"753";"2009";"mg3-1";"high";NA
"754";"2010";"mg3-1";"high";NA
"755";"2011";"mg3-1";"high";NA
"756";"2012";"mg3-1";"high";NA
"757";"1992";"Mg3-1";"high";NA
"758";"1993";"Mg3-1";"high";NA
"759";"1994";"Mg3-1";"high";NA
"760";"1995";"Mg3-1";"high";NA
"761";"1996";"Mg3-1";"high";NA
"762";"1997";"Mg3-1";"high";NA
"763";"1998";"Mg3-1";"high";NA
"764";"1999";"Mg3-1";"high";NA
"765";"2000";"Mg3-1";"high";NA
"766";"2001";"Mg3-1";"high";NA
"767";"2002";"Mg3-1";"high";NA
"768";"2003";"Mg3-1";"high";NA
"769";"2004";"Mg3-1";"high";NA
"770";"2005";"Mg3-1";"high";NA
"771";"2006";"Mg3-1";"high";NA
"772";"2007";"Mg3-1";"high";NA
"773";"2008";"Mg3-1";"high";NA
"774";"2009";"Mg3-1";"high";NA
"775";"2010";"Mg3-1";"high";NA
"776";"2011";"Mg3-1";"high";NA
"777";"2012";"Mg3-1";"high";NA
"778";"1992";"mg3-2";"high";NA
"779";"1993";"mg3-2";"high";NA
"780";"1994";"mg3-2";"high";NA
"781";"1995";"mg3-2";"high";NA
"782";"1996";"mg3-2";"high";NA
"783";"1997";"mg3-2";"high";NA
"784";"1998";"mg3-2";"high";NA
"785";"1999";"mg3-2";"high";NA
"786";"2000";"mg3-2";"high";NA
"787";"2001";"mg3-2";"high";NA
"788";"2002";"mg3-2";"high";NA
"789";"2003";"mg3-2";"high";NA
"790";"2004";"mg3-2";"high";NA
"791";"2005";"mg3-2";"high";NA
"792";"2006";"mg3-2";"high";NA
"793";"2007";"mg3-2";"high";NA
"794";"2008";"mg3-2";"high";NA
"795";"2009";"mg3-2";"high";NA
"796";"2010";"mg3-2";"high";NA
"797";"2011";"mg3-2";"high";NA
"798";"2012";"mg3-2";"high";NA
"799";"1992";"Mg3-2";"high";NA
"800";"1993";"Mg3-2";"high";NA
"801";"1994";"Mg3-2";"high";NA
"802";"1995";"Mg3-2";"high";NA
"803";"1996";"Mg3-2";"high";NA
"804";"1997";"Mg3-2";"high";NA
"805";"1998";"Mg3-2";"high";NA
"806";"1999";"Mg3-2";"high";NA
"807";"2000";"Mg3-2";"high";NA
"808";"2001";"Mg3-2";"high";NA
"809";"2002";"Mg3-2";"high";NA
"810";"2003";"Mg3-2";"high";NA
"811";"2004";"Mg3-2";"high";NA
"812";"2005";"Mg3-2";"high";NA
"813";"2006";"Mg3-2";"high";NA
"814";"2007";"Mg3-2";"high";NA
"815";"2008";"Mg3-2";"high";NA
"816";"2009";"Mg3-2";"high";NA
"817";"2010";"Mg3-2";"high";NA
"818";"2011";"Mg3-2";"high";NA
"819";"2012";"Mg3-2";"high";NA
"820";"1992";"mg3-3";"high";NA
"821";"1993";"mg3-3";"high";NA
"822";"1994";"mg3-3";"high";NA
"823";"1995";"mg3-3";"high";NA
"824";"1996";"mg3-3";"high";NA
"825";"1997";"mg3-3";"high";NA
"826";"1998";"mg3-3";"high";NA
"827";"1999";"mg3-3";"high";NA
"828";"2000";"mg3-3";"high";NA
"829";"2001";"mg3-3";"high";NA
"830";"2002";"mg3-3";"high";NA
"831";"2003";"mg3-3";"high";NA
"832";"2004";"mg3-3";"high";NA
"833";"2005";"mg3-3";"high";NA
"834";"2006";"mg3-3";"high";NA
"835";"2007";"mg3-3";"high";NA
"836";"2008";"mg3-3";"high";NA
"837";"2009";"mg3-3";"high";NA
"838";"2010";"mg3-3";"high";NA
"839";"2011";"mg3-3";"high";NA
"840";"2012";"mg3-3";"high";NA
"841";"1992";"Mg3-3";"high";NA
"842";"1993";"Mg3-3";"high";NA
"843";"1994";"Mg3-3";"high";NA
"844";"1995";"Mg3-3";"high";NA
"845";"1996";"Mg3-3";"high";NA
"846";"1997";"Mg3-3";"high";NA
"847";"1998";"Mg3-3";"high";NA
"848";"1999";"Mg3-3";"high";NA
"849";"2000";"Mg3-3";"high";NA
"850";"2001";"Mg3-3";"high";NA
"851";"2002";"Mg3-3";"high";NA
"852";"2003";"Mg3-3";"high";NA
"853";"2004";"Mg3-3";"high";NA
"854";"2005";"Mg3-3";"high";NA
"855";"2006";"Mg3-3";"high";NA
"856";"2007";"Mg3-3";"high";NA
"857";"2008";"Mg3-3";"high";NA
"858";"2009";"Mg3-3";"high";NA
"859";"2010";"Mg3-3";"high";NA
"860";"2011";"Mg3-3";"high";NA
"861";"2012";"Mg3-3";"high";NA
"862";"1992";"mg4";"high";40
"863";"1993";"mg4";"high";NA
"864";"1994";"mg4";"high";NA
"865";"1995";"mg4";"high";NA
"866";"1996";"mg4";"high";NA
"867";"1997";"mg4";"high";NA
"868";"1998";"mg4";"high";NA
"869";"1999";"mg4";"high";NA
"870";"2000";"mg4";"high";NA
"871";"2001";"mg4";"high";NA
"872";"2002";"mg4";"high";NA
"873";"2003";"mg4";"high";NA
"874";"2004";"mg4";"high";NA
"875";"2005";"mg4";"high";NA
"876";"2006";"mg4";"high";NA
"877";"2007";"mg4";"high";NA
"878";"2008";"mg4";"high";NA
"879";"2009";"mg4";"high";NA
"880";"2010";"mg4";"high";NA
"881";"2011";"mg4";"high";NA
"882";"2012";"mg4";"high";NA
"883";"1992";"mg4-1";"high";NA
"884";"1993";"mg4-1";"high";NA
"885";"1994";"mg4-1";"high";NA
"886";"1995";"mg4-1";"high";NA
"887";"1996";"mg4-1";"high";NA
"888";"1997";"mg4-1";"high";NA
"889";"1998";"mg4-1";"high";NA
"890";"1999";"mg4-1";"high";NA
"891";"2000";"mg4-1";"high";NA
"892";"2001";"mg4-1";"high";NA
"893";"2002";"mg4-1";"high";NA
"894";"2003";"mg4-1";"high";NA
"895";"2004";"mg4-1";"high";NA
"896";"2005";"mg4-1";"high";NA
"897";"2006";"mg4-1";"high";NA
"898";"2007";"mg4-1";"high";NA
"899";"2008";"mg4-1";"high";NA
"900";"2009";"mg4-1";"high";NA
"901";"2010";"mg4-1";"high";NA
"902";"2011";"mg4-1";"high";NA
"903";"2012";"mg4-1";"high";NA
"904";"1992";"Mg4-1";"high";NA
"905";"1993";"Mg4-1";"high";NA
"906";"1994";"Mg4-1";"high";NA
"907";"1995";"Mg4-1";"high";NA
"908";"1996";"Mg4-1";"high";NA
"909";"1997";"Mg4-1";"high";NA
"910";"1998";"Mg4-1";"high";NA
"911";"1999";"Mg4-1";"high";NA
"912";"2000";"Mg4-1";"high";NA
"913";"2001";"Mg4-1";"high";NA
"914";"2002";"Mg4-1";"high";NA
"915";"2003";"Mg4-1";"high";NA
"916";"2004";"Mg4-1";"high";NA
"917";"2005";"Mg4-1";"high";NA
"918";"2006";"Mg4-1";"high";NA
"919";"2007";"Mg4-1";"high";NA
"920";"2008";"Mg4-1";"high";NA
"921";"2009";"Mg4-1";"high";NA
"922";"2010";"Mg4-1";"high";NA
"923";"2011";"Mg4-1";"high";NA
"924";"2012";"Mg4-1";"high";NA
"925";"1992";"mg4-2";"high";NA
"926";"1993";"mg4-2";"high";NA
"927";"1994";"mg4-2";"high";NA
"928";"1995";"mg4-2";"high";NA
"929";"1996";"mg4-2";"high";NA
"930";"1997";"mg4-2";"high";NA
"931";"1998";"mg4-2";"high";NA
"932";"1999";"mg4-2";"high";NA
"933";"2000";"mg4-2";"high";NA
"934";"2001";"mg4-2";"high";NA
"935";"2002";"mg4-2";"high";NA
"936";"2003";"mg4-2";"high";NA
"937";"2004";"mg4-2";"high";NA
"938";"2005";"mg4-2";"high";NA
"939";"2006";"mg4-2";"high";NA
"940";"2007";"mg4-2";"high";NA
"941";"2008";"mg4-2";"high";NA
"942";"2009";"mg4-2";"high";NA
"943";"2010";"mg4-2";"high";NA
"944";"2011";"mg4-2";"high";NA
"945";"2012";"mg4-2";"high";NA
"946";"1992";"Mg4-2";"high";NA
"947";"1993";"Mg4-2";"high";NA
"948";"1994";"Mg4-2";"high";NA
"949";"1995";"Mg4-2";"high";NA
"950";"1996";"Mg4-2";"high";NA
"951";"1997";"Mg4-2";"high";NA
"952";"1998";"Mg4-2";"high";NA
"953";"1999";"Mg4-2";"high";NA
"954";"2000";"Mg4-2";"high";NA
"955";"2001";"Mg4-2";"high";NA
"956";"2002";"Mg4-2";"high";NA
"957";"2003";"Mg4-2";"high";NA
"958";"2004";"Mg4-2";"high";NA
"959";"2005";"Mg4-2";"high";NA
"960";"2006";"Mg4-2";"high";NA
"961";"2007";"Mg4-2";"high";NA
"962";"2008";"Mg4-2";"high";NA
"963";"2009";"Mg4-2";"high";NA
"964";"2010";"Mg4-2";"high";NA
"965";"2011";"Mg4-2";"high";NA
"966";"2012";"Mg4-2";"high";NA
"967";"1992";"mg4-3";"high";NA
"968";"1993";"mg4-3";"high";NA
"969";"1994";"mg4-3";"high";NA
"970";"1995";"mg4-3";"high";NA
"971";"1996";"mg4-3";"high";NA
"972";"1997";"mg4-3";"high";NA
"973";"1998";"mg4-3";"high";NA
"974";"1999";"mg4-3";"high";NA
"975";"2000";"mg4-3";"high";NA
"976";"2001";"mg4-3";"high";NA
"977";"2002";"mg4-3";"high";NA
"978";"2003";"mg4-3";"high";NA
"979";"2004";"mg4-3";"high";NA
"980";"2005";"mg4-3";"high";NA
"981";"2006";"mg4-3";"high";NA
"982";"2007";"mg4-3";"high";NA
"983";"2008";"mg4-3";"high";NA
"984";"2009";"mg4-3";"high";NA
"985";"2010";"mg4-3";"high";NA
"986";"2011";"mg4-3";"high";NA
"987";"2012";"mg4-3";"high";NA
"988";"1992";"Mg4-3";"high";NA
"989";"1993";"Mg4-3";"high";NA
"990";"1994";"Mg4-3";"high";NA
"991";"1995";"Mg4-3";"high";NA
"992";"1996";"Mg4-3";"high";NA
"993";"1997";"Mg4-3";"high";NA
"994";"1998";"Mg4-3";"high";NA
"995";"1999";"Mg4-3";"high";NA
"996";"2000";"Mg4-3";"high";NA
"997";"2001";"Mg4-3";"high";NA
"998";"2002";"Mg4-3";"high";NA
"999";"2003";"Mg4-3";"high";NA
"1000";"2004";"Mg4-3";"high";NA
"1001";"2005";"Mg4-3";"high";NA
"1002";"2006";"Mg4-3";"high";NA
"1003";"2007";"Mg4-3";"high";NA
"1004";"2008";"Mg4-3";"high";NA
"1005";"2009";"Mg4-3";"high";NA
"1006";"2010";"Mg4-3";"high";NA
"1007";"2011";"Mg4-3";"high";NA
"1008";"2012";"Mg4-3";"high";NA
"1009";"1992";"mg5";"high";30
"1010";"1993";"mg5";"high";NA
"1011";"1994";"mg5";"high";NA
"1012";"1995";"mg5";"high";NA
"1013";"1996";"mg5";"high";NA
"1014";"1997";"mg5";"high";NA
"1015";"1998";"mg5";"high";NA
"1016";"1999";"mg5";"high";NA
"1017";"2000";"mg5";"high";NA
"1018";"2001";"mg5";"high";NA
"1019";"2002";"mg5";"high";NA
"1020";"2003";"mg5";"high";NA
"1021";"2004";"mg5";"high";NA
"1022";"2005";"mg5";"high";NA
"1023";"2006";"mg5";"high";NA
"1024";"2007";"mg5";"high";NA
"1025";"2008";"mg5";"high";NA
"1026";"2009";"mg5";"high";NA
"1027";"2010";"mg5";"high";NA
"1028";"2011";"mg5";"high";NA
"1029";"2012";"mg5";"high";NA
"1030";"1992";"mg6";"high";190
"1031";"1993";"mg6";"high";NA
"1032";"1994";"mg6";"high";NA
"1033";"1995";"mg6";"high";NA
"1034";"1996";"mg6";"high";NA
"1035";"1997";"mg6";"high";NA
"1036";"1998";"mg6";"high";NA
"1037";"1999";"mg6";"high";NA
"1038";"2000";"mg6";"high";NA
"1039";"2001";"mg6";"high";NA
"1040";"2002";"mg6";"high";NA
"1041";"2003";"mg6";"high";NA
"1042";"2004";"mg6";"high";NA
"1043";"2005";"mg6";"high";NA
"1044";"2006";"mg6";"high";NA
"1045";"2007";"mg6";"high";NA
"1046";"2008";"mg6";"high";NA
"1047";"2009";"mg6";"high";NA
"1048";"2010";"mg6";"high";NA
"1049";"2011";"mg6";"high";NA
"1050";"2012";"mg6";"high";NA
"1051";"1992";"mg7";"high";NA
"1052";"1993";"mg7";"high";NA
"1053";"1994";"mg7";"high";NA
"1054";"1995";"mg7";"high";NA
"1055";"1996";"mg7";"high";NA
"1056";"1997";"mg7";"high";NA
"1057";"1998";"mg7";"high";NA
"1058";"1999";"mg7";"high";NA
"1059";"2000";"mg7";"high";NA
"1060";"2001";"mg7";"high";NA
"1061";"2002";"mg7";"high";NA
"1062";"2003";"mg7";"high";NA
"1063";"2004";"mg7";"high";NA
"1064";"2005";"mg7";"high";NA
"1065";"2006";"mg7";"high";NA
"1066";"2007";"mg7";"high";NA
"1067";"2008";"mg7";"high";NA
"1068";"2009";"mg7";"high";NA
"1069";"2010";"mg7";"high";NA
"1070";"2011";"mg7";"high";NA
"1071";"2012";"mg7";"high";NA
"1072";"1992";"mg8";"high";NA
"1073";"1993";"mg8";"high";NA
"1074";"1994";"mg8";"high";NA
"1075";"1995";"mg8";"high";NA
"1076";"1996";"mg8";"high";NA
"1077";"1997";"mg8";"high";NA
"1078";"1998";"mg8";"high";NA
"1079";"1999";"mg8";"high";NA
"1080";"2000";"mg8";"high";NA
"1081";"2001";"mg8";"high";NA
"1082";"2002";"mg8";"high";NA
"1083";"2003";"mg8";"high";NA
"1084";"2004";"mg8";"high";NA
"1085";"2005";"mg8";"high";NA
"1086";"2006";"mg8";"high";NA
"1087";"2007";"mg8";"high";NA
"1088";"2008";"mg8";"high";NA
"1089";"2009";"mg8";"high";NA
"1090";"2010";"mg8";"high";NA
"1091";"2011";"mg8";"high";NA
"1092";"2012";"mg8";"high";NA
"1093";"1992";"mg9";"high";NA
"1094";"1993";"mg9";"high";NA
"1095";"1994";"mg9";"high";NA
"1096";"1995";"mg9";"high";NA
"1097";"1996";"mg9";"high";NA
"1098";"1997";"mg9";"high";NA
"1099";"1998";"mg9";"high";NA
"1100";"1999";"mg9";"high";NA
"1101";"2000";"mg9";"high";NA
"1102";"2001";"mg9";"high";NA
"1103";"2002";"mg9";"high";NA
"1104";"2003";"mg9";"high";NA
"1105";"2004";"mg9";"high";NA
"1106";"2005";"mg9";"high";NA
"1107";"2006";"mg9";"high";NA
"1108";"2007";"mg9";"high";NA
"1109";"2008";"mg9";"high";NA
"1110";"2009";"mg9";"high";NA
"1111";"2010";"mg9";"high";NA
"1112";"2011";"mg9";"high";NA
"1113";"2012";"mg9";"high";NA
"1114";"1992";"1mg1";"low";NA
"1115";"1993";"1mg1";"low";NA
"1116";"1994";"1mg1";"low";NA
"1117";"1995";"1mg1";"low";NA
"1118";"1996";"1mg1";"low";NA
"1119";"1997";"1mg1";"low";NA
"1120";"1998";"1mg1";"low";NA
"1121";"1999";"1mg1";"low";NA
"1122";"2000";"1mg1";"low";NA
"1123";"2001";"1mg1";"low";NA
"1124";"2002";"1mg1";"low";NA
"1125";"2003";"1mg1";"low";NA
"1126";"2004";"1mg1";"low";NA
"1127";"2005";"1mg1";"low";NA
"1128";"2006";"1mg1";"low";NA
"1129";"2007";"1mg1";"low";NA
"1130";"2008";"1mg1";"low";NA
"1131";"2009";"1mg1";"low";NA
"1132";"2010";"1mg1";"low";NA
"1133";"2011";"1mg1";"low";NA
"1134";"2012";"1mg1";"low";NA
"1135";"1992";"1mg2";"low";NA
"1136";"1993";"1mg2";"low";NA
"1137";"1994";"1mg2";"low";NA
"1138";"1995";"1mg2";"low";NA
"1139";"1996";"1mg2";"low";NA
"1140";"1997";"1mg2";"low";NA
"1141";"1998";"1mg2";"low";NA
"1142";"1999";"1mg2";"low";NA
"1143";"2000";"1mg2";"low";NA
"1144";"2001";"1mg2";"low";NA
"1145";"2002";"1mg2";"low";NA
"1146";"2003";"1mg2";"low";NA
"1147";"2004";"1mg2";"low";NA
"1148";"2005";"1mg2";"low";NA
"1149";"2006";"1mg2";"low";NA
"1150";"2007";"1mg2";"low";NA
"1151";"2008";"1mg2";"low";NA
"1152";"2009";"1mg2";"low";NA
"1153";"2010";"1mg2";"low";NA
"1154";"2011";"1mg2";"low";NA
"1155";"2012";"1mg2";"low";NA
"1156";"1992";"1mg3";"low";NA
"1157";"1993";"1mg3";"low";NA
"1158";"1994";"1mg3";"low";NA
"1159";"1995";"1mg3";"low";NA
"1160";"1996";"1mg3";"low";NA
"1161";"1997";"1mg3";"low";NA
"1162";"1998";"1mg3";"low";NA
"1163";"1999";"1mg3";"low";NA
"1164";"2000";"1mg3";"low";NA
"1165";"2001";"1mg3";"low";NA
"1166";"2002";"1mg3";"low";NA
"1167";"2003";"1mg3";"low";NA
"1168";"2004";"1mg3";"low";NA
"1169";"2005";"1mg3";"low";NA
"1170";"2006";"1mg3";"low";NA
"1171";"2007";"1mg3";"low";NA
"1172";"2008";"1mg3";"low";NA
"1173";"2009";"1mg3";"low";NA
"1174";"2010";"1mg3";"low";NA
"1175";"2011";"1mg3";"low";NA
"1176";"2012";"1mg3";"low";NA
"1177";"1992";"1mg4";"low";NA
"1178";"1993";"1mg4";"low";NA
"1179";"1994";"1mg4";"low";NA
"1180";"1995";"1mg4";"low";NA
"1181";"1996";"1mg4";"low";NA
"1182";"1997";"1mg4";"low";NA
"1183";"1998";"1mg4";"low";NA
"1184";"1999";"1mg4";"low";NA
"1185";"2000";"1mg4";"low";NA
"1186";"2001";"1mg4";"low";NA
"1187";"2002";"1mg4";"low";NA
"1188";"2003";"1mg4";"low";NA
"1189";"2004";"1mg4";"low";NA
"1190";"2005";"1mg4";"low";NA
"1191";"2006";"1mg4";"low";NA
"1192";"2007";"1mg4";"low";690
"1193";"2008";"1mg4";"low";NA
"1194";"2009";"1mg4";"low";NA
"1195";"2010";"1mg4";"low";NA
"1196";"2011";"1mg4";"low";NA
"1197";"2012";"1mg4";"low";NA
"1198";"1992";"2mg1";"low";NA
"1199";"1993";"2mg1";"low";NA
"1200";"1994";"2mg1";"low";NA
"1201";"1995";"2mg1";"low";NA
"1202";"1996";"2mg1";"low";NA
"1203";"1997";"2mg1";"low";NA
"1204";"1998";"2mg1";"low";NA
"1205";"1999";"2mg1";"low";NA
"1206";"2000";"2mg1";"low";NA
"1207";"2001";"2mg1";"low";NA
"1208";"2002";"2mg1";"low";NA
"1209";"2003";"2mg1";"low";NA
"1210";"2004";"2mg1";"low";NA
"1211";"2005";"2mg1";"low";NA
"1212";"2006";"2mg1";"low";NA
"1213";"2007";"2mg1";"low";NA
"1214";"2008";"2mg1";"low";NA
"1215";"2009";"2mg1";"low";NA
"1216";"2010";"2mg1";"low";NA
"1217";"2011";"2mg1";"low";NA
"1218";"2012";"2mg1";"low";NA
"1219";"1992";"2mg2";"low";NA
"1220";"1993";"2mg2";"low";NA
"1221";"1994";"2mg2";"low";NA
"1222";"1995";"2mg2";"low";NA
"1223";"1996";"2mg2";"low";NA
"1224";"1997";"2mg2";"low";NA
"1225";"1998";"2mg2";"low";NA
"1226";"1999";"2mg2";"low";NA
"1227";"2000";"2mg2";"low";NA
"1228";"2001";"2mg2";"low";NA
"1229";"2002";"2mg2";"low";NA
"1230";"2003";"2mg2";"low";NA
"1231";"2004";"2mg2";"low";NA
"1232";"2005";"2mg2";"low";NA
"1233";"2006";"2mg2";"low";NA
"1234";"2007";"2mg2";"low";NA
"1235";"2008";"2mg2";"low";NA
"1236";"2009";"2mg2";"low";NA
"1237";"2010";"2mg2";"low";NA
"1238";"2011";"2mg2";"low";NA
"1239";"2012";"2mg2";"low";NA
"1240";"1992";"2mg3";"low";NA
"1241";"1993";"2mg3";"low";NA
"1242";"1994";"2mg3";"low";NA
"1243";"1995";"2mg3";"low";NA
"1244";"1996";"2mg3";"low";NA
"1245";"1997";"2mg3";"low";NA
"1246";"1998";"2mg3";"low";NA
"1247";"1999";"2mg3";"low";NA
"1248";"2000";"2mg3";"low";NA
"1249";"2001";"2mg3";"low";NA
"1250";"2002";"2mg3";"low";NA
"1251";"2003";"2mg3";"low";NA
"1252";"2004";"2mg3";"low";NA
"1253";"2005";"2mg3";"low";NA
"1254";"2006";"2mg3";"low";NA
"1255";"2007";"2mg3";"low";NA
"1256";"2008";"2mg3";"low";NA
"1257";"2009";"2mg3";"low";NA
"1258";"2010";"2mg3";"low";NA
"1259";"2011";"2mg3";"low";NA
"1260";"2012";"2mg3";"low";NA
"1261";"1992";"2mg4";"low";NA
"1262";"1993";"2mg4";"low";NA
"1263";"1994";"2mg4";"low";NA
"1264";"1995";"2mg4";"low";NA
"1265";"1996";"2mg4";"low";NA
"1266";"1997";"2mg4";"low";NA
"1267";"1998";"2mg4";"low";NA
"1268";"1999";"2mg4";"low";NA
"1269";"2000";"2mg4";"low";NA
"1270";"2001";"2mg4";"low";NA
"1271";"2002";"2mg4";"low";NA
"1272";"2003";"2mg4";"low";NA
"1273";"2004";"2mg4";"low";NA
"1274";"2005";"2mg4";"low";NA
"1275";"2006";"2mg4";"low";NA
"1276";"2007";"2mg4";"low";570
"1277";"2008";"2mg4";"low";NA
"1278";"2009";"2mg4";"low";NA
"1279";"2010";"2mg4";"low";NA
"1280";"2011";"2mg4";"low";NA
"1281";"2012";"2mg4";"low";NA
"1282";"1992";"3mg1";"low";NA
"1283";"1993";"3mg1";"low";NA
"1284";"1994";"3mg1";"low";NA
"1285";"1995";"3mg1";"low";NA
"1286";"1996";"3mg1";"low";NA
"1287";"1997";"3mg1";"low";NA
"1288";"1998";"3mg1";"low";NA
"1289";"1999";"3mg1";"low";NA
"1290";"2000";"3mg1";"low";NA
"1291";"2001";"3mg1";"low";NA
"1292";"2002";"3mg1";"low";NA
"1293";"2003";"3mg1";"low";NA
"1294";"2004";"3mg1";"low";NA
"1295";"2005";"3mg1";"low";NA
"1296";"2006";"3mg1";"low";NA
"1297";"2007";"3mg1";"low";NA
"1298";"2008";"3mg1";"low";NA
"1299";"2009";"3mg1";"low";NA
"1300";"2010";"3mg1";"low";NA
"1301";"2011";"3mg1";"low";NA
"1302";"2012";"3mg1";"low";NA
"1303";"1992";"3mg2";"low";NA
"1304";"1993";"3mg2";"low";NA
"1305";"1994";"3mg2";"low";NA
"1306";"1995";"3mg2";"low";NA
"1307";"1996";"3mg2";"low";NA
"1308";"1997";"3mg2";"low";NA
"1309";"1998";"3mg2";"low";NA
"1310";"1999";"3mg2";"low";NA
"1311";"2000";"3mg2";"low";NA
"1312";"2001";"3mg2";"low";NA
"1313";"2002";"3mg2";"low";NA
"1314";"2003";"3mg2";"low";NA
"1315";"2004";"3mg2";"low";NA
"1316";"2005";"3mg2";"low";NA
"1317";"2006";"3mg2";"low";NA
"1318";"2007";"3mg2";"low";NA
"1319";"2008";"3mg2";"low";NA
"1320";"2009";"3mg2";"low";NA
"1321";"2010";"3mg2";"low";NA
"1322";"2011";"3mg2";"low";NA
"1323";"2012";"3mg2";"low";NA
"1324";"1992";"3mg3";"low";NA
"1325";"1993";"3mg3";"low";NA
"1326";"1994";"3mg3";"low";NA
"1327";"1995";"3mg3";"low";NA
"1328";"1996";"3mg3";"low";NA
"1329";"1997";"3mg3";"low";NA
"1330";"1998";"3mg3";"low";NA
"1331";"1999";"3mg3";"low";NA
"1332";"2000";"3mg3";"low";NA
"1333";"2001";"3mg3";"low";NA
"1334";"2002";"3mg3";"low";NA
"1335";"2003";"3mg3";"low";NA
"1336";"2004";"3mg3";"low";NA
"1337";"2005";"3mg3";"low";NA
"1338";"2006";"3mg3";"low";NA
"1339";"2007";"3mg3";"low";NA
"1340";"2008";"3mg3";"low";NA
"1341";"2009";"3mg3";"low";NA
"1342";"2010";"3mg3";"low";NA
"1343";"2011";"3mg3";"low";NA
"1344";"2012";"3mg3";"low";NA
"1345";"1992";"3mg4";"low";NA
"1346";"1993";"3mg4";"low";NA
"1347";"1994";"3mg4";"low";NA
"1348";"1995";"3mg4";"low";NA
"1349";"1996";"3mg4";"low";NA
"1350";"1997";"3mg4";"low";NA
"1351";"1998";"3mg4";"low";NA
"1352";"1999";"3mg4";"low";NA
"1353";"2000";"3mg4";"low";NA
"1354";"2001";"3mg4";"low";NA
"1355";"2002";"3mg4";"low";NA
"1356";"2003";"3mg4";"low";NA
"1357";"2004";"3mg4";"low";NA
"1358";"2005";"3mg4";"low";NA
"1359";"2006";"3mg4";"low";NA
"1360";"2007";"3mg4";"low";720
"1361";"2008";"3mg4";"low";NA
"1362";"2009";"3mg4";"low";NA
"1363";"2010";"3mg4";"low";NA
"1364";"2011";"3mg4";"low";NA
"1365";"2012";"3mg4";"low";NA
"1366";"1992";"mg1";"low";NA
"1367";"1993";"mg1";"low";NA
"1368";"1994";"mg1";"low";NA
"1369";"1995";"mg1";"low";NA
"1370";"1996";"mg1";"low";NA
"1371";"1997";"mg1";"low";NA
"1372";"1998";"mg1";"low";NA
"1373";"1999";"mg1";"low";NA
"1374";"2000";"mg1";"low";NA
"1375";"2001";"mg1";"low";NA
"1376";"2002";"mg1";"low";NA
"1377";"2003";"mg1";"low";NA
"1378";"2004";"mg1";"low";NA
"1379";"2005";"mg1";"low";NA
"1380";"2006";"mg1";"low";NA
"1381";"2007";"mg1";"low";NA
"1382";"2008";"mg1";"low";NA
"1383";"2009";"mg1";"low";NA
"1384";"2010";"mg1";"low";NA
"1385";"2011";"mg1";"low";NA
"1386";"2012";"mg1";"low";NA
"1387";"1992";"mg10";"low";NA
"1388";"1993";"mg10";"low";NA
"1389";"1994";"mg10";"low";NA
"1390";"1995";"mg10";"low";NA
"1391";"1996";"mg10";"low";NA
"1392";"1997";"mg10";"low";NA
"1393";"1998";"mg10";"low";NA
"1394";"1999";"mg10";"low";NA
"1395";"2000";"mg10";"low";NA
"1396";"2001";"mg10";"low";NA
"1397";"2002";"mg10";"low";NA
"1398";"2003";"mg10";"low";NA
"1399";"2004";"mg10";"low";NA
"1400";"2005";"mg10";"low";NA
"1401";"2006";"mg10";"low";NA
"1402";"2007";"mg10";"low";NA
"1403";"2008";"mg10";"low";NA
"1404";"2009";"mg10";"low";NA
"1405";"2010";"mg10";"low";NA
"1406";"2011";"mg10";"low";NA
"1407";"2012";"mg10";"low";NA
"1408";"1992";"mg11";"low";NA
"1409";"1993";"mg11";"low";130
"1410";"1994";"mg11";"low";NA
"1411";"1995";"mg11";"low";NA
"1412";"1996";"mg11";"low";NA
"1413";"1997";"mg11";"low";NA
"1414";"1998";"mg11";"low";NA
"1415";"1999";"mg11";"low";NA
"1416";"2000";"mg11";"low";NA
"1417";"2001";"mg11";"low";NA
"1418";"2002";"mg11";"low";NA
"1419";"2003";"mg11";"low";NA
"1420";"2004";"mg11";"low";NA
"1421";"2005";"mg11";"low";NA
"1422";"2006";"mg11";"low";NA
"1423";"2007";"mg11";"low";NA
"1424";"2008";"mg11";"low";NA
"1425";"2009";"mg11";"low";NA
"1426";"2010";"mg11";"low";NA
"1427";"2011";"mg11";"low";NA
"1428";"2012";"mg11";"low";NA
